,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,male,22.0,1,0,7.25,S
2,1,3,female,26.0,0,0,7.925,S
3,1,1,female,35.0,1,0,53.1,S
4,0,3,male,35.0,0,0,8.05,S
5,0,3,male,29.69911764705882,0,0,8.4583,Q
6,0,1,male,54.0,0,0,51.8625,S
8,1,3,female,27.0,0,2,11.1333,S
9,1,2,female,14.0,1,0,30.0708,C
10,1,3,female,4.0,1,1,16.7,S
12,0,3,male,20.0,0,0,8.05,S
13,0,3,male,39.0,1,5,31.275,S
14,0,3,female,14.0,0,0,7.8542,S
17,1,2,male,29.69911764705882,0,0,13.0,S
18,0,3,female,31.0,1,0,18.0,S
19,1,3,female,29.69911764705882,0,0,7.225,C
20,0,2,male,35.0,0,0,26.0,S
21,1,2,male,34.0,0,0,13.0,S
22,1,3,female,15.0,0,0,8.0292,Q
23,1,1,male,28.0,0,0,35.5,S
24,0,3,female,8.0,3,1,21.075,S
25,1,3,female,38.0,1,5,31.3875,S
26,0,3,male,29.69911764705882,0,0,7.225,C
28,1,3,female,29.69911764705882,0,0,7.8792,Q
29,0,3,male,29.69911764705882,0,0,7.8958,S
30,0,1,male,40.0,0,0,27.7208,C
32,1,3,female,29.69911764705882,0,0,7.75,Q
35,0,1,male,42.0,1,0,52.0,S
36,1,3,male,29.69911764705882,0,0,7.2292,C
37,0,3,male,21.0,0,0,8.05,S
38,0,3,female,18.0,2,0,18.0,S
39,1,3,female,14.0,1,0,11.2417,C
40,0,3,female,40.0,1,0,9.475,S
41,0,2,female,27.0,1,0,21.0,S
42,0,3,male,29.69911764705882,0,0,7.8958,C
43,1,2,female,3.0,1,2,41.5792,C
44,1,3,female,19.0,0,0,7.8792,Q
45,0,3,male,29.69911764705882,0,0,8.05,S
46,0,3,male,29.69911764705882,1,0,15.5,Q
47,1,3,female,29.69911764705882,0,0,7.75,Q
48,0,3,male,29.69911764705882,2,0,21.6792,C
49,0,3,female,18.0,1,0,17.8,S
50,0,3,male,7.0,4,1,39.6875,S
51,0,3,male,21.0,0,0,7.8,S
53,1,2,female,29.0,1,0,26.0,S
55,1,1,male,29.69911764705882,0,0,35.5,S
56,1,2,female,21.0,0,0,10.5,S
57,0,3,male,28.5,0,0,7.2292,C
58,1,2,female,5.0,1,2,27.75,S
59,0,3,male,11.0,5,2,46.9,S
60,0,3,male,22.0,0,0,7.2292,C
63,0,3,male,4.0,3,2,27.9,S
64,0,1,male,29.69911764705882,0,0,27.7208,C
65,1,3,male,29.69911764705882,1,1,15.2458,C
66,1,2,female,29.0,0,0,10.5,S
67,0,3,male,19.0,0,0,8.1583,S
68,1,3,female,17.0,4,2,7.925,S
69,0,3,male,26.0,2,0,8.6625,S
70,0,2,male,32.0,0,0,10.5,S
71,0,3,female,16.0,5,2,46.9,S
73,0,3,male,26.0,1,0,14.4542,C
74,1,3,male,32.0,0,0,56.4958,S
75,0,3,male,25.0,0,0,7.65,S
76,0,3,male,29.69911764705882,0,0,7.8958,S
77,0,3,male,29.69911764705882,0,0,8.05,S
79,1,3,female,30.0,0,0,12.475,S
80,0,3,male,22.0,0,0,9.0,S
81,1,3,male,29.0,0,0,9.5,S
82,1,3,female,29.69911764705882,0,0,7.7875,Q
83,0,1,male,28.0,0,0,47.1,S
84,1,2,female,17.0,0,0,10.5,S
85,1,3,female,33.0,3,0,15.85,S
86,0,3,male,16.0,1,3,34.375,S
87,0,3,male,29.69911764705882,0,0,8.05,S
89,0,3,male,24.0,0,0,8.05,S
90,0,3,male,29.0,0,0,8.05,S
91,0,3,male,20.0,0,0,7.8542,S
92,0,1,male,46.0,1,0,61.175,S
93,0,3,male,26.0,1,2,20.575,S
95,0,3,male,29.69911764705882,0,0,8.05,S
97,1,1,male,23.0,0,1,63.3583,C
98,1,2,female,34.0,0,1,23.0,S
99,0,2,male,34.0,1,0,26.0,S
100,0,3,female,28.0,0,0,7.8958,S
101,0,3,male,29.69911764705882,0,0,7.8958,S
103,0,3,male,33.0,0,0,8.6542,S
104,0,3,male,37.0,2,0,7.925,S
105,0,3,male,28.0,0,0,7.8958,S
106,1,3,female,21.0,0,0,7.65,S
107,1,3,male,29.69911764705882,0,0,7.775,S
108,0,3,male,38.0,0,0,7.8958,S
109,1,3,female,29.69911764705882,1,0,24.15,Q
110,0,1,male,47.0,0,0,52.0,S
111,0,3,female,14.5,1,0,14.4542,C
112,0,3,male,22.0,0,0,8.05,S
113,0,3,female,20.0,1,0,9.825,S
114,0,3,female,17.0,0,0,14.4583,C
115,0,3,male,21.0,0,0,7.925,S
117,0,2,male,29.0,1,0,21.0,S
121,0,3,male,29.69911764705882,0,0,8.05,S
122,0,2,male,32.5,1,0,30.0708,C
123,1,2,female,32.5,0,0,13.0,S
125,1,3,male,12.0,1,0,11.2417,C
126,0,3,male,29.69911764705882,0,0,7.75,Q
128,1,3,female,29.69911764705882,1,1,22.3583,C
130,0,3,male,33.0,0,0,7.8958,C
132,0,3,female,47.0,1,0,14.5,S
133,1,2,female,29.0,1,0,26.0,S
134,0,2,male,25.0,0,0,13.0,S
135,0,2,male,23.0,0,0,15.0458,C
136,1,1,female,19.0,0,2,26.2833,S
137,0,1,male,37.0,1,0,53.1,S
138,0,3,male,16.0,0,0,9.2167,S
140,0,3,female,29.69911764705882,0,2,15.2458,C
141,1,3,female,22.0,0,0,7.75,S
142,1,3,female,24.0,1,0,15.85,S
144,0,2,male,18.0,0,0,11.5,S
145,0,2,male,19.0,1,1,36.75,S
146,1,3,male,27.0,0,0,7.7958,S
147,0,3,female,9.0,2,2,34.375,S
148,0,2,male,36.5,0,2,26.0,S
149,0,2,male,42.0,0,0,13.0,S
150,0,2,male,51.0,0,0,12.525,S
153,0,3,male,40.5,0,2,14.5,S
154,0,3,male,29.69911764705882,0,0,7.3125,S
155,0,1,male,51.0,0,1,61.3792,C
156,1,3,female,16.0,0,0,7.7333,Q
157,0,3,male,30.0,0,0,8.05,S
158,0,3,male,29.69911764705882,0,0,8.6625,S
160,0,3,male,44.0,0,1,16.1,S
161,1,2,female,40.0,0,0,15.75,S
162,0,3,male,26.0,0,0,7.775,S
163,0,3,male,17.0,0,0,8.6625,S
165,1,3,male,9.0,0,2,20.525,S
166,1,1,female,29.69911764705882,0,1,55.0,S
167,0,3,female,45.0,1,4,27.9,S
168,0,1,male,29.69911764705882,0,0,25.925,S
169,0,3,male,28.0,0,0,56.4958,S
171,0,3,male,4.0,4,1,29.125,Q
173,0,3,male,21.0,0,0,7.925,S
175,0,3,male,18.0,1,1,7.8542,S
176,0,3,male,29.69911764705882,3,1,25.4667,S
177,0,1,female,50.0,0,0,28.7125,C
178,0,2,male,30.0,0,0,13.0,S
181,0,2,male,29.69911764705882,0,0,15.05,C
182,0,3,male,9.0,4,2,31.3875,S
184,1,3,female,4.0,0,2,22.025,S
185,0,1,male,29.69911764705882,0,0,50.0,S
186,1,3,female,29.69911764705882,1,0,15.5,Q
187,1,1,male,45.0,0,0,26.55,S
188,0,3,male,40.0,1,1,15.5,Q
189,0,3,male,36.0,0,0,7.8958,S
190,1,2,female,32.0,0,0,13.0,S
191,0,2,male,19.0,0,0,13.0,S
192,1,3,female,19.0,1,0,7.8542,S
193,1,2,male,3.0,1,1,26.0,S
194,1,1,female,44.0,0,0,27.7208,C
196,0,3,male,29.69911764705882,0,0,7.75,Q
197,0,3,male,42.0,0,1,8.4042,S
198,1,3,female,29.69911764705882,0,0,7.75,Q
199,0,2,female,24.0,0,0,13.0,S
200,0,3,male,28.0,0,0,9.5,S
203,0,3,male,45.5,0,0,7.225,C
204,1,3,male,18.0,0,0,8.05,S
206,0,3,male,32.0,1,0,15.85,S
207,1,3,male,26.0,0,0,18.7875,C
208,1,3,female,16.0,0,0,7.75,Q
209,1,1,male,40.0,0,0,31.0,C
211,1,2,female,35.0,0,0,21.0,S
212,0,3,male,22.0,0,0,7.25,S
213,0,2,male,30.0,0,0,13.0,S
214,0,3,male,29.69911764705882,1,0,7.75,Q
216,1,3,female,27.0,0,0,7.925,S
217,0,2,male,42.0,1,0,27.0,S
219,0,2,male,30.0,0,0,10.5,S
220,1,3,male,16.0,0,0,8.05,S
221,0,2,male,27.0,0,0,13.0,S
222,0,3,male,51.0,0,0,8.05,S
223,0,3,male,29.69911764705882,0,0,7.8958,S
225,0,3,male,22.0,0,0,9.35,S
226,1,2,male,19.0,0,0,10.5,S
227,0,3,male,20.5,0,0,7.25,S
228,0,2,male,18.0,0,0,13.0,S
229,0,3,female,29.69911764705882,3,1,25.4667,S
231,0,3,male,29.0,0,0,7.775,S
233,1,3,female,5.0,4,2,31.3875,S
234,0,2,male,24.0,0,0,10.5,S
235,0,3,female,29.69911764705882,0,0,7.55,S
236,0,2,male,44.0,1,0,26.0,S
237,1,2,female,8.0,0,2,26.25,S
238,0,2,male,19.0,0,0,10.5,S
239,0,2,male,33.0,0,0,12.275,S
240,0,3,female,29.69911764705882,1,0,14.4542,C
241,1,3,female,29.69911764705882,1,0,15.5,Q
242,0,2,male,29.0,0,0,10.5,S
244,0,3,male,30.0,0,0,7.225,C
246,0,3,female,25.0,0,0,7.775,S
247,1,2,female,24.0,0,2,14.5,S
248,1,1,male,37.0,1,1,52.5542,S
249,0,2,male,54.0,1,0,26.0,S
250,0,3,male,29.69911764705882,0,0,7.25,S
251,0,3,female,29.0,1,1,10.4625,S
253,0,3,male,30.0,1,0,16.1,S
254,0,3,female,41.0,0,2,20.2125,S
255,1,3,female,29.0,0,2,15.2458,C
259,1,2,female,50.0,0,1,26.0,S
260,0,3,male,29.69911764705882,0,0,7.75,Q
261,1,3,male,3.0,4,2,31.3875,S
264,0,3,female,29.69911764705882,0,0,7.75,Q
265,0,2,male,36.0,0,0,10.5,S
266,0,3,male,16.0,4,1,39.6875,S
267,1,3,male,25.0,1,0,7.775,S
270,0,1,male,29.69911764705882,0,0,31.0,S
272,1,2,female,41.0,0,1,19.5,S
273,0,1,male,37.0,0,1,29.7,C
274,1,3,female,29.69911764705882,0,0,7.75,Q
276,0,3,female,45.0,0,0,7.75,S
278,0,3,male,7.0,4,1,29.125,Q
279,1,3,female,35.0,1,1,20.25,S
281,0,3,male,28.0,0,0,7.8542,S
282,0,3,male,16.0,0,0,9.5,S
283,1,3,male,19.0,0,0,8.05,S
284,0,1,male,29.69911764705882,0,0,26.0,S
285,0,3,male,33.0,0,0,8.6625,C
286,1,3,male,30.0,0,0,9.5,S
287,0,3,male,22.0,0,0,7.8958,S
288,1,2,male,42.0,0,0,13.0,S
289,1,3,female,22.0,0,0,7.75,Q
292,0,2,male,36.0,0,0,12.875,C
293,0,3,female,24.0,0,0,8.85,S
294,0,3,male,24.0,0,0,7.8958,S
295,0,1,male,29.69911764705882,0,0,27.7208,C
296,0,3,male,23.5,0,0,7.2292,C
298,1,1,male,29.69911764705882,0,0,30.5,S
300,1,3,female,29.69911764705882,0,0,7.75,Q
301,1,3,male,29.69911764705882,2,0,23.25,Q
303,1,2,female,29.69911764705882,0,0,12.35,Q
304,0,3,male,29.69911764705882,0,0,8.05,S
308,0,2,male,30.0,1,0,24.0,C
309,1,1,female,30.0,0,0,56.9292,C
312,0,2,female,26.0,1,1,26.0,S
313,0,3,male,28.0,0,0,7.8958,S
314,0,2,male,43.0,1,1,26.25,S
315,1,3,female,26.0,0,0,7.8542,S
316,1,2,female,24.0,1,0,26.0,S
317,0,2,male,54.0,0,0,14.0,S
320,0,3,male,22.0,0,0,7.25,S
321,0,3,male,27.0,0,0,7.8958,S
322,1,2,female,30.0,0,0,12.35,Q
323,1,2,female,22.0,1,1,29.0,S
327,1,2,female,36.0,0,0,13.0,S
328,1,3,female,31.0,1,1,20.525,S
329,1,1,female,16.0,0,1,57.9792,C
330,1,3,female,29.69911764705882,2,0,23.25,Q
331,0,1,male,45.5,0,0,28.5,S
333,0,3,male,16.0,2,0,18.0,S
335,0,3,male,29.69911764705882,0,0,7.8958,S
338,1,3,male,45.0,0,0,8.05,S
339,0,1,male,45.0,0,0,35.5,S
342,0,2,male,28.0,0,0,13.0,S
343,0,2,male,25.0,0,0,13.0,S
344,0,2,male,36.0,0,0,13.0,S
345,1,2,female,24.0,0,0,13.0,S
346,1,2,female,40.0,0,0,13.0,S
347,1,3,female,29.69911764705882,1,0,16.1,S
348,1,3,male,3.0,1,1,15.9,S
349,0,3,male,42.0,0,0,8.6625,S
350,0,3,male,23.0,0,0,9.225,S
351,0,1,male,29.69911764705882,0,0,35.0,S
352,0,3,male,15.0,1,1,7.2292,C
353,0,3,male,25.0,1,0,17.8,S
354,0,3,male,29.69911764705882,0,0,7.225,C
355,0,3,male,28.0,0,0,9.5,S
356,1,1,female,22.0,0,1,55.0,S
357,0,2,female,38.0,0,0,13.0,S
358,1,3,female,29.69911764705882,0,0,7.8792,Q
359,1,3,female,29.69911764705882,0,0,7.8792,Q
360,0,3,male,40.0,1,4,27.9,S
361,0,2,male,29.0,1,0,27.7208,C
362,0,3,female,45.0,0,1,14.4542,C
364,0,3,male,29.69911764705882,1,0,15.5,Q
365,0,3,male,30.0,0,0,7.25,S
367,1,3,female,29.69911764705882,0,0,7.2292,C
368,1,3,female,29.69911764705882,0,0,7.75,Q
370,1,1,male,25.0,1,0,55.4417,C
372,0,3,male,19.0,0,0,8.05,S
374,0,3,female,3.0,3,1,21.075,S
376,1,3,female,22.0,0,0,7.25,S
379,0,3,male,19.0,0,0,7.775,S
382,0,3,male,32.0,0,0,7.925,S
383,1,1,female,35.0,1,0,52.0,S
384,0,3,male,29.69911764705882,0,0,7.8958,S
387,1,2,female,36.0,0,0,13.0,S
388,0,3,male,29.69911764705882,0,0,7.7292,Q
389,1,2,female,17.0,0,0,12.0,C
391,1,3,male,21.0,0,0,7.7958,S
392,0,3,male,28.0,2,0,7.925,S
394,1,3,female,24.0,0,2,16.7,S
395,0,3,male,22.0,0,0,7.7958,S
396,0,3,female,31.0,0,0,7.8542,S
397,0,2,male,46.0,0,0,26.0,S
398,0,2,male,23.0,0,0,10.5,S
399,1,2,female,28.0,0,0,12.65,S
400,1,3,male,39.0,0,0,7.925,S
401,0,3,male,26.0,0,0,8.05,S
402,0,3,female,21.0,1,0,9.825,S
403,0,3,male,28.0,1,0,15.85,S
404,0,3,female,20.0,0,0,8.6625,S
405,0,2,male,34.0,1,0,21.0,S
406,0,3,male,51.0,0,0,7.75,S
407,1,2,male,3.0,1,1,18.75,S
408,0,3,male,21.0,0,0,7.775,S
409,0,3,female,29.69911764705882,3,1,25.4667,S
410,0,3,male,29.69911764705882,0,0,7.8958,S
414,1,3,male,44.0,0,0,7.925,S
415,0,3,female,29.69911764705882,0,0,8.05,S
416,1,2,female,34.0,1,1,32.5,S
417,1,2,female,18.0,0,2,13.0,S
418,0,2,male,30.0,0,0,13.0,S
419,0,3,female,10.0,0,2,24.15,S
420,0,3,male,29.69911764705882,0,0,7.8958,C
421,0,3,male,21.0,0,0,7.7333,Q
422,0,3,male,29.0,0,0,7.875,S
423,0,3,female,28.0,1,1,14.4,S
424,0,3,male,18.0,1,1,20.2125,S
425,0,3,male,29.69911764705882,0,0,7.25,S
426,1,2,female,28.0,1,0,26.0,S
427,1,2,female,19.0,0,0,26.0,S
428,0,3,male,29.69911764705882,0,0,7.75,Q
429,1,3,male,32.0,0,0,8.05,S
430,1,1,male,28.0,0,0,26.55,S
431,1,3,female,29.69911764705882,1,0,16.1,S
432,1,2,female,42.0,1,0,26.0,S
434,0,1,male,50.0,1,0,55.9,S
436,0,3,female,21.0,2,2,34.375,S
437,1,2,female,24.0,2,3,18.75,S
439,0,2,male,31.0,0,0,10.5,S
440,1,2,female,45.0,1,1,26.25,S
441,0,3,male,20.0,0,0,9.5,S
442,0,3,male,25.0,1,0,7.775,S
443,1,2,female,28.0,0,0,13.0,S
